Title,Director,Cast,Genre,Notes/Music
Shadi Se Pehle,"Raja Nene, Datta Dharmadhikari","Rajan, Ranjana, Raja Nene, Vasant Thengdi","Social, Drama","Music Karnad, Paigankar
Lyrics: Mukhram Sharma"
Shahkar,S. Khalil,"Shobhana Samarth, Shah Nawaz, Agha, Jilloobai, Anwar, Bhudo Advani, Cuckoo","Social, Drama","Music K. Dutta
Lyrics:"
Shake Hands,Bhagwan,"Bhagwan, Agha, Surekha, Ranibala, Haroon","Double-role, Action","Music: Chitragupta
Lyrics: Shyam Hindi"
Shehnai,P. L. Santoshi,"Rehana, Nasir Khan, Dulari, Leela Mishra, Mumtaz Ali, V. H. Desai, Niranjan Sharma","Family, Social, Drama","Music C. Ramchandra
Lyrics: Pyarelal Santoshi"
Sher-e-Bengal,Mohammed Hussain,"Raj Kumari, Douglas, Nazira, Ajit, Dalpat, Vatsala Kumtekar, Arvind Kumar",Action,"Music Mohammed Hussain
Lyrics:"
Shikarpuri,A. Shah Aziz,"Shamim, Kamal Zamindar, Sadiq, Geeta Bose, Nazir Kashmiri, Khan Mastana",Social,"Music Mohammed Shafi
Lyrics: A. Shah Aziz"
Sindoor,Kishore Sahu,"Kishore Sahu, Paro Devi, Shamim, Gulab, Rajendra, Ramesh Gupta, Pratima Devi, Sushil Sahu, Mehmood",Drama,"Music Khemchand Prakash
Lyrics: Neelkanth Tiwari, Qamar Jalalabadi, Kishore Sahu"
Soorat,Nasrat A. Mansoori,"Arun Kumar Ahuja, Leela Desai, Surekha,",Action,"Music K. C. Varma
Lyrics: Pandit Bajpai, Nazrat A Mansuri, Muztar Behzadi, Sagar Nizami"
Speed Queen,Nari Ghadiali,"Benjamin, Ruby, Pratima, Younus, Faiyaz Begum",Action,"Music H. N. Sharma
Lyrics: Safdar Mirza"
Stage Girl,S. H. Tharani,"Dilawar, Mehrunnisa, Ranibala, Sheikh, Chandrika, Samson, Habib",Action,"Music A. K. Prem
Lyrics: Shewan Rizvi, C. M. Hunar"
Stunt Queen,Ramnik Vaidya,"Fearless Nadia, John Cawas, Sona Chatterjee, Dalpat, M. K. Hasan, Shyam Sunder",Action,"Music: Chitragupta
Lyrics: Shyam Hindi"
Tiger Man,Ramanlal Desai,"Amarnath, Indravadan Bhatt, Gulnar, Rajinder Singh",Action,"Music: Indravadan Bhatt
Lyrics: Neelkanth Tiwari"
Tiger Queen,,"John Cawas, Leela, Pawar, Shanta Patel, Dalpat, Samson","Action, Adventure","Music Ghulam Mohammed
Lyrics:"
Tohfa,Agha Jani Kashmiri,"Nawab, Veera, Rehman, Shahnawaz, Anuradha, Misra, Agha",Social,"Music M. A. Rauf Osmania
Lyrics: Agha Jani Kashmiri, Nazeer Hyderabadi, Rafiq Ghaznavi"
Toofani Takkar a.k.a. Toofani Taqrar,A. M. Khan,"Sardar Mansur, Sarla Devi, Gohar Karnataki, Mona, Ameena Begum, S. Alam, Fazal, Amir Khan, Kesari",Action,"Music: Sardar Bhir Singh
Lyrics: Qaiser Sabai, Qaiser Jafri"
Toofani Tirandaz,Boman Shroff,"Fearless Nadia, Prakash, Atish Sayani, Chitra, Ranjan, Dalpat, Sona Chatterjee, Boman Shroff","Action, Costume","Music A. Karim
Lyrics: Azeez Minai"
Toote Dil,M. A. Mirza,"Trilok Kapoor, Ramola, Ranibala, Navin Yagnik, Shakir",Social,"Music: Vasant Kumar Naidu
Lyrics:"
Utho Jago,Pramod Chandra,"Shahzadi, Ashiq Hussain, Jamshedji, Nalini and Aziz Khan",Social,"Music Azeez Khan, Mohammed Ibrahim
Lyrics:"
Veerangana a.k.a. Brave Women,Nandlal Jaswantlal,"Shobhana Samarth, Prem Adib, Jeevan, Badri Prasad, Prabha, Shanta Patel, Kanta","Action, Drama","Music Manna Dey, Hari Prasanna Das
Lyrics: Pradeep (Miss Kamal)"
Woh Zamana,Manibhai Vyas,"Lalita Pawar, Padma Banerjee, Subhadra Devi, Sheikh Hassan, S. N. Tripathi, Altaf",Social,"Music Bulo C. Rani
Lyrics: Pandit Indra"
Yaadgar,Sharif Nayyar,"Jyoti, M. Ismail Nazir, Agha, Gulab, Kailash, Gulzar",Social,"Music A. R. Qureshi
Lyrics: Tanvir Naqvi"
Yeh Hai Zindagi,S. D. Narang,"Smriti Biswas, Begum Parvez, Kalavati, Mirza Musharraf, Shahida, Moti",Social,"Music G. A. Chishti
Lyrics:Arsh Lakhnavi, Pandit Madhur, G.A. Chishti"
Zalim,Behram Mukudam,"Sardar Mansur, Dalpat",Action,"Music
Lyrics:"
Zinda Dil,S. M. Raza,"Sheikh Ahmed, Mohantara Talpade, Amirbai Karnataki, Alladin",Social,"Music Khan Mastana
Lyrics: Muzaffar, Fahimi Seemabi, A. R. Preetam"
Zindagi,Kishore Sharma,"Begum Para, Balwant Singh, K. N. Singh, Gope, Jagdish Sethi",Social,"Music Krishan Dayal
Lyrics:"
Zanjeer,Kishore Sharma,"Begum Para, Balwant Singh, K. N. Singh, Gope, Jagdish Sethi, Latika",Social,"Music Krishna Dayal
Lyrics: Lalchand Bismil, Rajendra Krishan, Pandit Phani, Pandit Gaafil"
