Title,Director,Cast,Genre,Notes/Music
Bade Sahab,G. P. Pawar,"Bhagwan, Leela Gupte, Baburao, Habib, Usha",Social,Music: Nissar Lyrics: Hasrat Jaipuri
Badi Bahu,S. Bhagat,"Nimmi, Shekhar, Sulochana Chatterji, Shivraj, Chanda","Family, Drama",Music: Anil Biswas Lyrics: Prem Dhawan
Bahar,,"Vyjayanthimala, Karan Dewan, Pran, Pandhari Bai, Gope, Chaman Puri, Leela Mishra, Om Prakash, Sunder","Romance, Drama",Music: S. D. Burman Lyrics: Rajendra Krishan
Bedardi,Kidar Sharma,"Geeta Bali, Nimmi, Jaswant, Amirbai Karnataki, Nazira, Manju, Rashid Khan, Cuckoo",Social,Music: Lyrics:
Bhai Ka Pyar,Raja Nene,"Nalini Jaywant, Karan Dewan, Jagdish Sethi, Sunalini Devi","Family, Drama",Music: Ramchandra Pal Lyrics: Mukhram Sharma
Bhola Shankar,Vishram Bedekar,"Mahipal, Prem Adib, Vijaylaxmi, Bhagwan, Sadhna Bose, Sheela Naik",Mythology,Music: Snehal Bhatkar Lyrics: Bharat Vyas
Bikhare Moti,S. N. Yusuf,"Nigar Sultana, Kamini Kaushal, Jayant, Jeevan, Neelam, Ranjana","Social, Drama",Music: Ghulam Mohammed Lyrics: Akhtar ul Iman
Buzdil,Shahid Lateef,"Kishore Sahu, Nimmi, Premnath, Kanhaiyalal, Sunalini Devi, Cuckoo",Social,"Music: S. D. Burman Lyrics: Shailendra, Kaifi Azmi"
Damad,Brij Rani,"Bhagwan, Krishna Kumari, Yashodhara Katju, Pratima Devi, Cuckoo, Gajanan Jagirdar",Family,"Music: Indravadan Bhatt, Ram Panjwani (3), Shyamu (1) Lyrics: Bahaar Ajmeri"
Daman,Nanabhai Bhatt,"Ajit, Nigar Sultana, Pran, Yashodhara Katju, Agha, Hiralal","Family, Drama","Music: K. Dutta Lyrics: Raja Mehdi Ali Khan, Ehsan Rizvi (1), Rajendra Krishan (1), Anjum Jaipuri (1)"
Dasavtaar,Jayant Desai,"Nirupa Roy, Trilok Kapoor, Murad, Jeevan, Niranjan Sharma, Tabassum",Mythology,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak (5), B. P. Bhargav (5), Munshi Sagar Hussain (2)"
Deedar,Nitin Bose,"Dilip Kumar, Ashok Kumar, Nargis, Nimmi, Sapru","Romance, Drama",Music: Naushad Lyrics: Shakeel Badayuni
Deepak,Chandrashekhar,"Prithviraj Kapoor, Vijaylaxmi, Umesh Sharma, Sajjan, Kamal Mehra, Shanti Madhok","Social, Drama","Music: Ram Ganguly Lyrics: Madhukar Rajasthani, Narendra Sharma (2)"
Dholak,Roop K. Shorey,"Ajit, Meena Shorey, Manmohan Krishna, Yashodhara Katju, Majnu, Shakuntala","Social, Drama",Music: Shyam Sundar Lyrics: Aziz Kashmiri
Dilbar,Raja Ram,"Agha, Raja, Bibi, Tiwari, Leela Kumari, Siddiqui, Mumtaz",,Music: Avinash Sufi Samaj Lyrics: S. A. Ghaffar
Do Sitare,D. D. Kashyap,"Dev Anand, Suraiya, Premnath, Kuldip Kaur, Mumtaz, Shakuntala Paranjpye","Social, Drama",Music: Anil Biswas Lyrics: Rajendra Krishan
Ek Nazar,O. P. Dutta,"Nalini Jaywant, Karan Dewan, Kuldip Kaur, Rehman, Gope, Raj Mehra, Randhir","Romance, Drama",Music: S. D. Burman Lyrics: Rajendra Krishan
Ek Tha Ladka,Room Sanware,"Bharat Bhushan, Geeta Bali, Geeta Nizami, Tiwari, Jankidas",Social,"Music: Murari, Rajhans Kataria Lyrics: Ehsan Elahi (3), Rajesh Kumar (5), Kamal R.C. (2)"
